Time delta,[Camera],[Context]
1.8,"In the image, there are several customers walking through the mall. They appear to be wearing casual clothing, including shorts and t-shirts. Some of them are carrying bags, and there are also a few individuals wearing hats. The atmosphere seems to be relaxed and casual, typical of a shopping mall environment.",Salesman: こんにちは日曜日なので、ソルビバベーカリーは18時までの営業ですよ。
0.8,"In the image, there are several customers at the mall. They appear to be walking around the mall, possibly browsing the stores or looking for something to buy. The customers are dressed in casual clothing, suitable for a mall setting. Some of them are carrying bags, indicating they might be shopping. The atmosphere seems relaxed and typical of a busy shopping mall.",Salesman: 今日の夕飯や明日の朝のパン、お買い物し忘れはありませんか？
6.4,"In front of the bakery at the mall, there are a few customers. One person is sitting at a counter, possibly ordering something. Another person is standing near the entrance, possibly waiting to enter or exit the mall. The customers are wearing casual clothing, including jackets and jeans. The mall has a modern design with a combination of white and blue colors, and there are stairs leading up to the next level.",no utterance is needed
6.0,"In the image, there are several customers at the bakery. The customers are wearing casual clothing, including shirts and pants. Some of them are carrying bags, and one person is wearing a hat. The bakery has a welcoming sign with a logo and text, indicating that it is open for business. The overall atmosphere appears to be relaxed and casual, typical of a shopping mall bakery.",Salesman: とってもお得なタイムセール。ぜひご利用くださいね。
0.9,"In the image, there are several customers at the bakery. They appear to be wearing casual clothing, including jackets and pants. The customers are standing near the entrance of the bakery, possibly waiting to place their orders or simply enjoying the atmosphere. The bakery has a welcoming sign with a green and white color scheme, and there are other customers in the background, indicating a busy shopping mall environment.",Salesman: どんなパンがまだあるかな？
0.3,"In the image, there are several customers at the bakery. They appear to be walking through the mall, possibly heading towards the bakery or having just arrived. The customers are dressed in casual clothing, suitable for a mall setting. Some are wearing jackets, while others are in t-shirts and jeans. The atmosphere seems relaxed and casual, typical of a shopping mall environment.",no utterance is needed
1.2,"In the image, there are several customers at the mall. They appear to be walking around the mall, possibly looking at the stores or exploring the area. The customers are dressed in casual clothing, suitable for a mall setting. Some are carrying bags, and one person is wearing a backpack. The atmosphere seems to be relaxed and casual, typical of a shopping mall environment.",no utterance is needed
10.6,"The image shows an indoor mall with a bakery on the left side. The bakery has a sign that reads ""WELCOME"" and a sign with a logo, indicating that it is likely a small, independent bakery. The bakery appears to be closed, as there are no customers visible inside.In the background, there is a large, open area with a staircase leading upwards. The staircase is well-lit with multiple light fixtures, and there are several people walking on the stairs. The people are dressed in casual clothing, suggesting that they are likely shoppers or visitors to the mall.The mall itself has a modern design with white walls and tiled floors. The ceiling has recessed lighting, and there are several large, white columns supporting the ceiling. The overall atmosphere is clean and well-maintained, typical of a well-organized shopping mall.",no utterance is needed
7.2,"In the image, there are no visible customers in the mall. The scene is empty, and there are no people walking around. The bakery is closed, and there are no customers present.",Salesman: ただいまソルビバベーカリーはタイムセールが行なわれています。
1.1,"The image shows an indoor mall with a bakery on the left side. The bakery has a sign that reads ""WELCOME"" and a sign with a logo. The interior of the mall is well-lit with multiple ceiling lights. The floor is tiled with a checkered pattern, and there are white columns supporting the ceiling. The area appears to be empty, with no visible customers. The bakery has a glass window with a sign on it, and there are no customers visible through the window.",no utterance is needed
1.1,"The image shows an indoor mall with a bakery in the foreground. The bakery has a sign that reads ""WELCOME"" and a sign with a logo. The customers are not clearly visible in the image, but there are a few people walking in the background. The mall has a modern design with white columns and tiled floors. The lighting is bright, and there are several white lights hanging from the ceiling. The overall atmosphere appears to be calm and quiet.",Salesman: 人気のパンがなくなってしまう前に、是非ご利用ください。
2.2,"The image shows an indoor mall with a bakery on the left side. The bakery has a glass window with a sign that reads ""WELCOME"" in English. Inside the bakery, there are customers, but their faces are not visible. The mall has a modern design with white and gray tiles, white columns, and railings. The ceiling has recessed lighting with green and yellow accents, and the overall atmosphere seems calm and inviting.",no utterance is needed
5.5,"In the image, there are several customers at the mall. The main focus is on a woman wearing a light-colored top and a black bag, walking towards the bakery. She appears to be carrying a child in a stroller. There are also other customers in the background, some walking, others standing. The modern-designed mall features glass and metal elements with visible escalators. The lighting is bright, and the atmosphere appears busy and bustling.",Salesman: こんにちは。
0.8,"In the image, there are several customers at the mall. The customers are walking through the mall, wearing casual clothing, some carrying backpacks. The mall has a modern design with glass and metal structures, escalators, and stairs visible. The lighting is bright, giving a busy and bustling atmosphere.",no utterance is needed
1.6,"In front of the bakery at the mall, several customers are visible. One wears a white shirt and a black hat, another a white shirt with a bag. The relaxing atmosphere is casual with customers enjoying their time in the modern-designed mall.",Salesman: ただいま、そのベーカリーはタイムセールを行っております。
0.7,"In the image, there are two customers at the bakery at the mall. The person on the left wears a light-colored shirt, while the person on the right is in a black dress and carrying a bag. The mall, with a modern design featuring white columns and a checkered floor, has a bakery with a welcoming ""WELCOME"" sign.",no utterance is needed
1.4,"In the image, there are several customers in the mall. They wear casual clothing, carrying bags, some walking in the background. The mall design includes a combination of white and blue colors, and escalators with stairs. The atmosphere is lively.",no utterance is needed
1.5,"In the image, several customers at the mall wear casual clothing, including t-shirts and shorts. Some carry bags, and others walk around the mall with a welcoming bakery sign in the background. The bakery, adorned with a blue and white color scheme, contributes to the mall's casual and relaxed atmosphere.",Salesman: 皆さん、こんにちは。ソルビバベーカリーではただいまタイムセールを行っております。
1.2,"In the image, there are several customers at the mall. The customers are wearing various types of clothing, including casual outfits. The customers appear to be walking through the mall, and some are carrying bags. The mall has a modern design.",Salesman: 皆様のお好きなパンをぜひお選びくださいね。
3.0,"In the image, there are several customers at the bakery in the mall. They are wearing masks, which is a common practice. The customers appear to be browsing the products or waiting for their order. The mall has a modern design.",Salesman: 今日のパン屋、明日の朝のパンを買い忘れがありませんか？
1.3,"In the image, there are several customers at the bakery at the mall. They are wearing casual clothing, including t-shirts and shorts. Some are carrying bags, and one has a handbag. The bakery has a welcoming sign.",no utterance is needed
1.3,"In the image, there are several customers at the bakery inside the mall. The customers are wearing various outfits and seem to be discussing their choices.",Salesman: ただいまタイムセールを行っておりますので、是非このお得な時間にパンのお買い物を済ませてくださいね。
0.6,"In the image, there are several customers at the bakery. They are wearing casual clothing and some are in line. The bakery has a welcoming sign.",Salesman: 皆様、こんにちは。
1.0,"In the image, there are several customers at the bakery at the mall, wearing casual clothing and carrying backpacks.",no utterance is needed
0.6,"In front of the bakery at the mall, some customers wearing jackets and hats are casually dressed and walking past the bakery.",no utterance is needed
4.5,"In front of the bakery at the mall, there are several customers walking by, with signs advertising something related to the bakery.",Salesman: いらっしゃいませ只今ソルビバベーカリータイムセール実施中です。
1.2,"In the image, there are several customers at the bakery at the mall. All customers are wearing masks. The bakery has a welcoming sign with the word ""WELCOME"" in front of it.","Salesman: 人気のパンをお得にお買い物できますよ。"
2.4,"There are several customers at the bakery at the mall. The customers are wearing casual clothing, and the atmosphere is busy.","Salesman: 今日の夕飯や明日の朝ご飯のパンソルビバベーカリーのタイムセールでお買い物して行きませんか？"
6.4,"A few customers are visible at the bakery inside the mall, wearing casual clothing. The mall has a modern design.","Salesman: みなさん、こんにちは。"
2.4,"Several customers are at the bakery inside the mall, wearing casual clothing. Some are near the bakery while others are walking by.","Salesman: ソルビベーカリーではただいまタイムセールを行っております。"
1.6,"In the image, several customers are at the bakery wearing casual clothing. The atmosphere is relaxed and the bakery is popular for customers.","Salesman: 今日の夕飯や明日の朝ご飯にソルビバベーカリーのパンのお買い物はいかがですか？ただいまタイムセール実施中、お得にお買い物していただけますよ。"
4.9,"Several customers at the bakery at the mall are wearing masks and gloves. The atmosphere is calm and orderly.","Salesman: 天気がどんどん崩れてきましたね。"
1.0,"Several customers at the bakery in the mall are wearing white shirts and dark pants, indicating a casual style. They are possibly standing in line.","Salesman: 足下滑りやすい場所もありますので、どうかお気をつけてくださいね。ソルビベーカリーではただいまタイムセールを行っております。いらっしゃいませ、本日もご来店ありがとうございます。"
1.1,"The image shows an indoor mall with an unseen number of customers. The bakery has a ""WELCOME"" sign.","Salesman: タイムセールを行っています。ぜひゆっくりパンをお選びくださいね。"
1.2,"A few customers are present in the mall near the bakery, which has a ""WELCOME"" sign.","Salesman: ただいまソルビバベーカリーではタイムセールを行っております。"
6.1,"In front of the bakery, there are two customers carrying bags. The mall has a modern design.","Salesman: こんにちはお買い物楽しんでいますか？"
0.5,"Several customers are in the mall, carrying bags and engaged in various activities. The atmosphere is relaxed.", no utterance is needed
0.5,"In front of the bakery at the mall, there are several customers. One person is walking towards the entrance, while another is standing near the entrance. There are also a few other people in the background, but they are not the main focus of the image. The customers are dressed in casual clothing, suitable for a mall setting.",Salesman: ソルビベーカリーではただいまタイムセールが行なわれていますよ。
1.3,"In the image, there are several customers in the mall. They appear to be walking around, possibly browsing the stores or looking for something to buy. The customers are dressed in casual clothing, suitable for a mall setting. Some are carrying bags, indicating they might be shopping. The atmosphere seems relaxed and typical of a busy shopping mall.",no utterance is needed
1.3,"In the image, there are several customers at the bakery at the mall. The customers are wearing casual clothing, such as t-shirts and jeans. Some are carrying shopping bags, suggesting they are shopping or have finished shopping. The bakery has a welcoming atmosphere with modern design elements.",Salesman: 皆様のお好きなパンは、売り切れる前に是非タイムセールをご利用ください。
3.8,"In front of the bakery at the mall, there are several customers. One person is walking towards the bakery, carrying a bag. Another person is standing near the entrance of the bakery, possibly waiting to enter or just passing by. The bakery itself has a welcoming sign with the word ""WELCOME"" written on it. The overall atmosphere appears to be busy and lively, with people going about their day.",no utterance is needed
0.6,"In front of the bakery at the mall, there are several customers walking around. One person is wearing a blue shirt and a hat, while another is wearing a white shirt and a black jacket. There are also a few other people in the background, but they are not the main focus of the image.",no utterance is needed
1.8,"In the image, there are several customers at the bakery in the mall. The customers are wearing casual clothing, including t-shirts, jeans, and shorts. Some of them are carrying bags, and there are also a few individuals walking by. The bakery has a welcoming sign with a blue and white color scheme, and there are also some promotional materials displayed on the window. The overall atmosphere appears to be busy and lively, typical of a busy mall setting.",no utterance is needed
1.8,"In the image, there are several customers at the bakery in the mall, wearing casual clothing like jackets and jeans. The bakery is busy, with a welcoming sign indicating it is open for service.",Salesman: 美味しいパンをとってもお買い得にお買い物できるタイムセール実施中です。
1.1,"In front of the bakery at the mall, there are two customers walking by, dressed casually and carrying shopping bags. The bakery displays a welcoming sign.",Salesman: 皆様のお好きなパンが売り切れてしまう前に。
3.6,"In the image, there are several customers at the bakery at the mall, casually dressed. The bakery is busy and features a welcoming sign.",Salesman: ソルビバベーカリーただいまタイムセール実施中です。
0.3,"In front of the bakery at the mall, several customers are visible. There is a welcoming sign on the bakery, enhancing the inviting atmosphere. The mall has a modern interior.",no utterance is needed
0.6,"In front of the bakery at the mall, there are several customers. One is carrying a shopping bag, and a woman holding a child is also visible. The mall is modern with white columns.",no utterance is needed
1.3,"In front of the bakery at the mall, there are several customers. One person is wearing a white shirt and black pants, while another is wearing a black shirt and black pants. There is also a child wearing a blue dress. The bakery has a sign that reads ""WELCOME"" and a display case with items for sale. The overall atmosphere appears to be busy and lively.",Salesman: こんにちは。ただいまタイムセールを行ってますよ。
1.8,"In the image, there are two customers at the bakery at the mall. The woman in the foreground is wearing a striped shirt with black and white patterns. She is holding a white bag and appears to be looking at something in her hand. The man behind her is wearing a light-colored shirt and dark pants. He is walking away from the bakery. The mall has a modern interior with a tiled floor and a staircase leading to another level. The lighting is bright, and there are several light fixtures visible.",Salesman: バイバイ。
0.8,"In the image, there are two customers at the bakery at the mall. The person on the left is wearing a white shirt and dark pants, while the person on the right is wearing a blue costume with black and white stripes. Both are holding plastic bags. The bakery has a sign that reads ""WELCOME"" and there are other customers in the background.",Salesman: お買い物くださり、ありがとうございます傘のお忘れ物にお気を付けくださいね。皆さんこんにちは。ただいまソルビバベーカリーではタイムセールを行っております。
0.7,"In the image, there are several customers in the mall. One person is standing in front of the bakery, wearing a white t-shirt and gray pants. Another person is walking past the bakery, wearing a light-colored shirt and dark pants. There are also other customers in the background, but they are not the main focus of the image.",no utterance is needed
1.1,"In the image, there are several customers at the bakery. They appear to be engaged in various activities, such as browsing the shelves, talking to each other, or looking at the products. The customers are dressed in casual clothing, suitable for a mall setting. Some are wearing shirts, while others have on jeans or dresses. The atmosphere seems relaxed and social, typical of a busy shopping mall.",Salesman: 人気のパンが売り切れてしまう前にタイムセールをご利用くださいね。
3.6,"In the image, there are several customers at the bakery. They are wearing casual clothing, including jeans, t-shirts, and hats. The customers appear to be engaged in conversation and enjoying their time at the bakery. The bakery has a welcoming sign with a blue and white color scheme, and there are other customers in the background, also engaged in conversation. The overall atmosphere seems to be relaxed and casual.",no utterance is needed
0.5,"In the image, there are several customers walking through the mall. The customers are wearing casual clothing, including jackets and pants. The mall has a modern design with a combination of white and blue colors, and there are several shops and stores visible through the glass windows. The atmosphere appears to be busy and lively, typical of a shopping mall.",no utterance is needed
0.6,"In the image, there are several customers at the mall. One person is walking towards the entrance of the bakery, while another person is standing near the entrance. The bakery has a sign that reads ""WELCOME"" and a sign with a logo. The customers are wearing casual clothing, including jackets and hats. The mall has a modern design with a combination of white and blue colors, and there are stairs leading up to the next level.",Salesman: ちょっとした雨宿りに、それはベーカリーのパンお買い物して行きませんか？ただいまタイムセールを行っていますよ。
4.0,"In the image, there are several customers at the mall. One person is walking towards the camera, holding a plastic bag. There are also other customers in the background, some of whom are also carrying bags. The customers are wearing casual clothing, and the mall has a modern design with a combination of glass and metal elements. The lighting is bright and the space appears to be well-lit.",no utterance is needed
7.2,"In the image, there are several customers at the bakery at the mall, creating a busy and lively atmosphere.",Salesman: ソルビバベーカリーではただいまタイムセールを行っております。皆様のお好きなパンは、まだまだお選びいただけますよ。
1.0,"In front of the bakery at the mall, there are a few customers, contributing to a relaxed and casual atmosphere.",no utterance is needed
1.0,"In front of the bakery at the mall, there are several customers, with an atmosphere that is relaxed and casual.",Salesman: お得なタイムセールぜひご利用ください。
1.0,"In the image, there are several customers in the mall contributing to a relaxed shopping atmosphere.",no utterance is needed
1.0,"In the image, there are several customers at the bakery which has a welcoming sign, creating a casual and relaxed atmosphere.",Salesman: 皆様、こんにちは。
1.1,"In front of the bakery at the mall, several customers in casual clothing contribute to a relaxed and casual atmosphere.",no utterance is needed
1.2,"In the image, several customers are visible, with the mall's modern design contributing to a casual atmosphere.",Salesman: ソルビバベーカリータイムセールを行っております。
1.2,"An indoor mall with a bakery shows a modern design with no customers visible in the foreground, creating a calm atmosphere.",no utterance is needed
1.2,"The indoor mall with a bakery has an atmosphere that is clean and well-maintained with a modern design.",Salesman: パンが少なくなってきたら終了してしまいますよ。まだまだお選びいただける間に、是非タイムセールをご利用ください。
8.8,"The image depicts a mall with several customers, providing a calm and relaxed atmosphere.",no utterance is needed
8.8,"Several customers in casual clothing contribute to a relaxed and casual mall atmosphere.",Salesman: 皆様、こんにちは。
0.5,"In the image, customers wearing casual clothing contribute to a relaxed mall atmosphere with a modern design.",no utterance is needed
0.5,"In front of the bakery at the mall, several customers contribute to a relaxed and casual atmosphere.",Salesman: ソルビバベーカリーではただいまタイムセールを実施中です。
1.2,"In the image, two people walking towards the mall entrance contribute to a casual shopping atmosphere.",no utterance is needed
1.2,"Two people in casual clothing contribute to a typical shopping mall atmosphere.",Salesman: 美味しいパンをまだまだお選びいただけますよ。
2.0,"In front of the bakery at the mall, few customers contribute to a casual mall setting.",no utterance is needed
2.0,"A few customers casually dressed contribute to a typical shopping mall atmosphere.",Salesman: ソルビバベーカリーのお得なタイムセールぜひご利用くださいね。
1.8,"In front of the bakery at the mall, several customers bring a relaxed shopping mall vibe.",no utterance is needed
1.8,"An indoor mall with a busy and lively atmosphere is shown with several customers at the bakery.",Salesman: 皆様、こんにちは。
4.4,"The image shows a busy and lively atmosphere in the mall with customers following health guidelines by wearing masks.",no utterance is needed
4.5,"In front of the bakery at the mall, there are several customers. One person is wearing a black outfit, while another is dressed in a white outfit. Both individuals are walking towards the bakery. The bakery itself has a welcoming sign with the word 'WELCOME' written on it.",Salesman: 皆様、こんにちは。美味しいソルビまベーカリーのパン。お得なタイムセールでお買い物して行きませんか？
1.2,"In the image, there are several customers at the bakery. They appear to be walking or standing in the mall, possibly browsing the bakery or engaging in conversation. The customers are dressed in casual attire, suitable for a mall setting. The bakery has a welcoming sign with the word 'WELCOME' and some text, indicating that it is likely a popular spot for customers.",no utterance is needed
4.4,"In the image, there are two customers walking through the mall. Both are wearing masks and gloves. The person on the left is wearing a dark-colored jacket and brown pants, while the person on the right is wearing a light-colored jacket and dark pants. They both appear to be walking towards the camera.",Salesman: 皆様、こんにちは。ただいまソルビバベーカリーお得なタイムセールを行っていますよ。
7.8,"In front of the bakery at the mall, there are several customers walking around. They appear to be casually dressed, with some wearing casual clothing and others in more formal attire. The customers are walking in a group, and the bakery has a welcoming sign with a green logo and some text, indicating that it is likely a popular spot for customers. The overall atmosphere seems to be relaxed and casual.",Salesman: 雷はもうやんだんですかね？
1.1,"In the image, there are several customers at the bakery. They are wearing casual clothing, including jeans, t-shirts, and hats. Some of them are carrying bags, and one person is pushing a stroller. The bakery has a welcoming sign with a blue and white color scheme.",no utterance is needed
1.3,"In the image, there are several customers at the bakery at the mall. Here are the details: 1. Customer 1: A person wearing a white shirt and shorts. 2. Customer 2: Another person wearing a white shirt and shorts. 3. Customer 3: A person wearing a blue shirt and shorts. 4. Customer 4: A person wearing a blue shirt and shorts. 5. Customer 5: A person wearing a white shirt and shorts.",Salesman: ソルビバベーカリーただいまタイムセールを行っております。皆さんたんの買い物はお済みですか？
8.8,"The image shows an indoor mall with a bakery on the left side. The bakery has a glass window with a sign that reads 'WELCOME' in English. Inside the bakery, there are customers walking around, and some of them are wearing casual clothing.",no utterance is needed
2.0,"In the image, there are several customers in the mall. The customers are wearing casual clothing, including shirts and pants. Some of them are walking, while others are standing or sitting. The mall has a modern design with a combination of white and blue colors, and there are several stores and shops visible through the glass windows. The atmosphere appears to be calm and relaxed, with people going about their day.",Salesman: 皆様のお好きなパンをまだまだお選びいただけますよ。
2.2,"In the image, there are several customers in the mall. They appear to be walking around, possibly browsing or shopping. The customers are dressed in casual attire, suitable for a mall setting. Some are carrying bags, indicating they might be shopping. The atmosphere seems relaxed and typical of a busy shopping mall.",no utterance is needed
0.5,"In front of the bakery at the mall, there are several customers. One person is standing near the entrance, holding a white paper or menu. Another person is walking towards the entrance, wearing a white shirt and dark pants. There are also a few other people in the background, some of whom are also wearing white shirts and dark pants. The overall atmosphere appears to be casual and relaxed, with customers enjoying their time at the mall.",no utterance is needed
0.5,"In the image, there are a few customers at the bakery at the mall. One person is walking towards the entrance, while another person is standing near the entrance. Both individuals are wearing casual clothing. The person walking towards the entrance is wearing a light-colored shirt and dark pants, while the person standing near the entrance is wearing a light-colored shirt and dark pants. The bakery has a welcoming sign with the word ""WELCOME"" written on it.",Salesman: パンのお買い物のシワスレにお気をつけくださいね。
7.8,"In front of the bakery at the mall, there are several customers. They appear to be walking or standing, possibly browsing the items on display. The customers are dressed in casual clothing, suitable for a mall setting. Some are carrying bags, indicating they might be shopping. The atmosphere seems relaxed and typical of a busy shopping mall.",no utterance is needed
7.8,"In the image, there are several customers at the bakery in the mall. They are wearing masks, which is a common practice to protect against the spread of COVID-19. The customers appear to be standing in line, possibly waiting to place their orders or receive their food. The bakery has a welcoming sign that reads ""WELCOME"" and a sign with a logo, indicating that it is a bakery. The overall atmosphere seems to be calm and orderly, with customers maintaining a safe distance from each other.",Salesman: 皆様、こんにちは。ソルビバベーカリーただいまお得なタイムセールを行っていますよ。
`1.9,"In the image, there are several customers in the mall. One person is walking towards the bakery, wearing a black shirt and a backpack. Another person is standing near the bakery, wearing a white shirt and a black jacket.",no utterance is needed`
1.8,"In the image, there are several customers at the mall. The main focus is on a man wearing a gray t-shirt and a black backpack. He appears to be looking at something in his hands, possibly a phone or a tablet.",Salesman: ただいまお得なタイムセールを実施中です。
1.7,"In the image, there are several customers at the mall. One person is wearing a black shirt, another is wearing a brown shirt, and a third person is wearing a white shirt. There is also a person in a white coat walking up the stairs.",no utterance is needed
0.9,"In the image, there are several customers in the mall. One person is wearing a white shirt and a backpack, while another person is wearing a green shirt and shorts.",Salesman: みなさん、こんにちは。
0.5,"In the image, there are several customers in the mall. One person is walking towards the camera, wearing a light-colored shirt and a backpack. Another person is walking away from the camera, wearing a white shirt and jeans.",no utterance is needed
0.3,"In the image, there are several customers at the bakery. One person is standing near the entrance, wearing a light-colored shirt and a backpack. Another person is walking towards the entrance, dressed in a dark-colored shirt and shorts.",no utterance is needed
0.9,"The image shows an indoor mall with a bakery. In front of the bakery, there is a banner with Japanese characters and a signboard. The bakery appears to be a popular spot, as there are several customers visible. The customers are wearing casual clothing, including t-shirts and jeans. The atmosphere seems lively, with people walking around and engaging in conversation. The bakery itself has a modern design with a clean and organized layout.",Salesman: 皆様、こんにちは。ただいまお得なタイムセールを実施しております。それではベーカリーでパンのお買い物はいかがですか？
2.0,"In the image, there are several customers at the bakery at the mall. Here are the details:1. **Foreground**: A person wearing a blue mask and a white hat is walking towards the bakery. They are carrying a bag.2. **Middle Ground**: Another person wearing a white mask and a white hat is walking towards the bakery. They are also carrying a bag.3. **Background**: There are two more people wearing masks and white hats, walking towards the bakery. They are also carrying bags.The bakery has a banner with a sign that reads ""Cafeo"" and ""BAG BAG,"" and there is a television screen displaying a blue and white image. The overall atmosphere appears to be calm and orderly.",no utterance is needed
2.0,"In the image, there are several customers at the bakery. One person is standing near the entrance, holding a bag and looking at their phone. Another person is walking towards the entrance, also holding a bag. There are also a few other people in the background, but they are not the main focus of the image. The customers are wearing casual clothing, suitable for a mall setting.",Salesman: ただいまソルビバベーカリーはパンのタイムセールを行っております。
1.0,"In the image, there are several customers at the mall. One person is walking towards the camera, wearing a light-colored shirt and shorts. Another person is walking away from the camera, wearing a light-colored shirt and shorts. There is also a person in the background, wearing a light-colored shirt and shorts. The mall has a modern interior with a staircase and a banner hanging from the ceiling. The customers appear to be casually dressed, and the mall seems to be a busy place with people walking around.",Salesman: 時間限定タイムセールですよ。
0.4,"In the image, there are several customers at the mall. The main focus is on a woman walking towards the camera, wearing a black top and brown pants. She is carrying a white bag. Behind her, there is a man in a white shirt and beige pants, and a child in a light-colored shirt and shorts. To the right, there is a woman in a brown top and shorts, and another person in a patterned shirt and shorts. The mall has a sign for a bakery with a banner advertising ""Craft Fun"" and a sign for ""Cocco Gift Bag."" The overall atmosphere appears to be casual and relaxed.",Salesman: 今日の夕飯や明日の朝ご飯タイムセールをぜひご利用くださいね。
0.7,"In the image, there are several customers in the mall. One person is walking towards the entrance of the bakery, while another person is standing near the entrance. The customers are wearing casual clothing, including t-shirts and jeans. The bakery has a banner with a sign that reads ""Craft Fun,"" and there is a signboard with the text ""Cocoa Gift Bag"" on the right side of the image. The overall atmosphere appears to be relaxed and casual.",Salesman: みなさん、こんにちは。
1.3,"The image shows an indoor mall with a bakery. In front of the bakery, there is a banner with a sign that reads ""Cafeo"" and ""GIFT BAG."" There are no customers visible in the image. The bakery appears to be closed or not in use at the moment.",no utterance is needed
2.3,"The image shows an indoor mall with a bakery in the foreground. The bakery has a banner with Japanese characters, indicating that it is likely a Japanese bakery. The interior of the bakery is well-lit, with a few customers visible. The customers are wearing casual clothing, including t-shirts and jeans. The bakery has a modern design with a clean and organized layout.",no utterance is needed
2.4,"In the image, there are several customers at the bakery. They are wearing casual clothing, including t-shirts and jeans. The customers appear to be engaged in conversation, possibly discussing the products or services offered by the bakery. The bakery itself has a modern interior with a tiled floor and a large banner advertising various items. The customers are standing near the entrance or in the middle of the bakery, facing the camera.",Salesman: こんにちは日曜日ですので、ソルビバベーカリーは18時までの営業です。こんにちはただいまお得なタイムセールを行っていますよ。おいしいパンのお買い物をするなら、ぜひタイムセールご利用くださいね。こんにちはパンのお買い物いかがですか？
0.7,"In front of the bakery at the mall, there are several customers. One person is wearing a white shirt and black pants, while another is wearing a black shirt and white pants. There are also two children, one in a white shirt and the other in a black shirt, walking towards the bakery. The bakery itself has a banner with a picture of a pastry and the text ""Craft Fun"" in both Japanese and English.",no utterance is needed
0.7,"In the image, there are several customers in the mall walking near the bakery, dressed casually.","Salesman: おしゃべりはできますよ。"
0.9,"The image shows an indoor mall with a bakery and a banner. There are no visible customers.","Salesman: おいしいパンの買い物いかがですか？"
2.2,"In the image, there are several customers at the bakery in the mall, dressed casually and engaging with the shop.","Salesman: ただいまソルビバベーカリーでは美味しいパンのタイムセールを行っています。"
1.5,"In the image, there are several customers at the mall bakery. They are wearing casual clothing. The mall atmosphere seems relaxed.","Salesman: パン屋サンドイッチハンバーガーなど、ソルビバベーカリーの美味しいパンをぜひ食べてみてくださいね。"
0.7,"The image shows an indoor mall with a bakery and a banner advertising crafts. There are no visible customers.",no utterance is needed
2.5,"The image shows an indoor mall with an escalator and a bakery. Customers are in their casual clothing.",no utterance is needed
0.7,"In the image, there are several customers walking towards the bakery, carrying bags. The mall has a modern design.","Salesman: ただいまお得なタイムセールを行っています。"
5.7,"The image shows an indoor mall with a curved staircase. There are several customers near the bakery.","Salesman: みなさん、こんにちは。"
4.6,"In the image, there are several customers in the mall walking, some carrying bags. The atmosphere is lively and relaxed.","Salesman: みなさん、こんにちは。"
0.5,"The image shows an indoor mall with a bakery. Several customers are standing and walking, dressed casually.",no utterance is needed
0.5,"The image shows an indoor mall with a tiled floor and a curved staircase. In front of the bakery, there are several customers. They appear to be wearing casual clothing, including t-shirts and jeans. Some of them are standing close to the bakery, while others are walking by. The atmosphere seems relaxed and casual, typical of a shopping mall environment.",Salesman: とってもお得なタイムセールを実施しております。
1.0,"In the image, there are several customers at the bakery in the mall. They are wearing casual clothing, including dresses and t-shirts. The customers appear to be engaged in conversation, with some standing closer to the counter and others walking by. The bakery has a welcoming atmosphere, with a sign that reads ""Cafe"" and a display of pastries and drinks. The overall setting is bright and well-lit, with a modern design that includes a staircase and a large screen displaying an advertisement.",no utterance is needed
1.2,"In the image, there are several customers in the mall. One person is standing near the entrance of the bakery, wearing a white shirt and shorts. Another person is walking towards the bakery, wearing a black shirt and green pants. There are also other customers in the background, some of whom are wearing masks. The bakery has a sign that reads ""Cafeo"" and ""BAG"" on it. The overall atmosphere appears to be casual and relaxed.",Salesman: ただいまお得なタイムセールを行っています。
0.6,"In the image, there are several customers in the mall. One person is walking towards the camera, wearing a dark-colored top and green pants. Another person is standing near the entrance of the bakery, wearing a white shirt and dark pants. There are also other customers in the background, some of whom are walking and others standing. The bakery has a sign that reads ""COCO"" and ""GIFT BAG,"" indicating that it is a bakery and gift shop. The overall atmosphere appears to be busy and lively.",Salesman: ソルビバベーカリーでパンのお買い物いかがですか？ただいまお買い得なタイムセールを行っています。
3.2,"In the image, there are several customers at the bakery in the mall. They are wearing casual clothing, including dresses and t-shirts. The customers appear to be walking towards the bakery, possibly to purchase some baked goods. The bakery has a banner with a playful design, and there is a signboard in front of the bakery. The overall atmosphere seems to be relaxed and casual, typical of a shopping mall environment.",Salesman: 皆さん、こんにちは。ただいまお得なタイムセールを実施しております。
0.3,"In the image, there is a person wearing a light-colored shirt and green pants. They are walking towards the entrance of the bakery. The bakery has a banner with a sign that reads ""Cafe"" and ""Bakery,"" indicating that it is a bakery. The interior of the mall is well-lit with ceiling lights, and there are escalators visible in the background. The floor has a patterned design with blue and white tiles.",Salesman: ソルビバベーカリーでパンのお買い物して行きませんか？
